path,class_name,class_id
dataset_procesado\cerda_007\20260320_141655_001.jpg,cerda_007,6
dataset_procesado\cerda_012\20260317_132532_036.jpg,cerda_012,11
dataset_procesado\cerda_001\20260320_135731_002.jpg,cerda_001,0
dataset_procesado\cerda_012\20260401_111041_026.jpg,cerda_012,11
dataset_procesado\cerda_002\20260317_133528_026.jpg,cerda_002,1
dataset_procesado\cerda_001\.trashed-1776432379-20260317_132359_016.jpg,cerda_001,0
dataset_procesado\cerda_003\20260320_141959_035.jpg,cerda_003,2
dataset_procesado\cerda_007\20260317_134123_060.jpg,cerda_007,6
dataset_procesado\cerda_002\20260317_133446_012.jpg,cerda_002,1
dataset_procesado\cerda_004\IMG-20250420-WA0086.jpg,cerda_004,3
dataset_procesado\cerda_012\.trashed-1776432379-20260317_132434_017.jpg,cerda_012,11
dataset_procesado\cerda_012\.trashed-1776432378-20260317_132439_037.jpg,cerda_012,11
dataset_procesado\cerda_002\20260317_133446_006.jpg,cerda_002,1
dataset_procesado\cerda_012\20260320_134930_005.jpg,cerda_012,11
dataset_procesado\cerda_001\.trashed-1776432380-20260317_132340_022.jpg,cerda_001,0
dataset_procesado\cerda_007\20260320_141655_046.jpg,cerda_007,6
dataset_procesado\cerda_011\20260320_141309_006.jpg,cerda_011,10
dataset_procesado\cerda_002\20260317_133435_021.jpg,cerda_002,1
dataset_procesado\cerda_012\20260317_132439_039.jpg,cerda_012,11
dataset_procesado\cerda_007\20260317_134123_020.jpg,cerda_007,6
dataset_procesado\cerda_012\.trashed-1776432231-20260317_132518_018.jpg,cerda_012,11
dataset_procesado\cerda_012\20260317_132439_005.jpg,cerda_012,11
dataset_procesado\cerda_007\20260317_134123_054.jpg,cerda_007,6
dataset_procesado\cerda_005\20250511_104558_023.jpg,cerda_005,4
dataset_procesado\cerda_001\.trashed-1776432380-20260317_132351_068.jpg,cerda_001,0
dataset_procesado\cerda_002\20260317_133422_072.jpg,cerda_002,1
dataset_procesado\cerda_004\IMG-20250420-WA0075.jpg,cerda_004,3
dataset_procesado\cerda_005\20250511_104613_016.jpg,cerda_005,4
dataset_procesado\cerda_001\.trashed-1776432380-20260317_132351_063.jpg,cerda_001,0
dataset_procesado\cerda_001\.trashed-1776432379-20260317_132323_033.jpg,cerda_001,0
dataset_procesado\cerda_001\20260317_133413_057.jpg,cerda_001,0
dataset_procesado\cerda_012\20260320_134840.jpg,cerda_012,11
dataset_procesado\cerda_002\20260317_133435_026.jpg,cerda_002,1
dataset_procesado\cerda_012\.trashed-1776432230-20260317_132532_044.jpg,cerda_012,11
dataset_procesado\cerda_012\20260317_132500_012.jpg,cerda_012,11
dataset_procesado\cerda_001\.trashed-1776432376-20260317_132351_086.jpg,cerda_001,0
dataset_procesado\cerda_001\.trashed-1776432375-20260317_132100_085.jpg,cerda_001,0
dataset_procesado\cerda_005\20250511_104735_048.jpg,cerda_005,4
dataset_procesado\cerda_001\.trashed-1776432375-20260317_132233_013.jpg,cerda_001,0
dataset_procesado\cerda_001\.trashed-1776432379-20260317_132242_089.jpg,cerda_001,0
dataset_procesado\cerda_001\20260317_132406_016.jpg,cerda_001,0
dataset_procesado\cerda_012\20260317_132546_006.jpg,cerda_012,11
dataset_procesado\cerda_002\20260317_133548.jpg,cerda_002,1
dataset_procesado\cerda_003\20260320_141959_024.jpg,cerda_003,2
dataset_procesado\cerda_005\20250511_104558_014.jpg,cerda_005,4
dataset_procesado\cerda_012\IMG-20250420-WA0169.jpg,cerda_012,11
dataset_procesado\cerda_012\20260320_134824.jpg,cerda_012,11
dataset_procesado\cerda_005\20250511_104735_010.jpg,cerda_005,4
dataset_procesado\cerda_012\20260317_132551_052.jpg,cerda_012,11
dataset_procesado\cerda_001\.trashed-1776432380-20260317_132328_085.jpg,cerda_001,0
dataset_procesado\cerda_002\20260317_133601_009.jpg,cerda_002,1
dataset_procesado\cerda_012\.trashed-1776432378-20260317_132439_019.jpg,cerda_012,11
dataset_procesado\cerda_007\20260317_134206_054.jpg,cerda_007,6
dataset_procesado\cerda_006\IMG-20250420-WA0013.jpg,cerda_006,5
dataset_procesado\cerda_012\20260317_132511_041.jpg,cerda_012,11
dataset_procesado\cerda_001\20260317_133413_047.jpg,cerda_001,0
dataset_procesado\cerda_001\.trashed-1776432376-20260317_132242_085.jpg,cerda_001,0
dataset_procesado\cerda_012\20260317_132500_041.jpg,cerda_012,11
dataset_procesado\cerda_001\.trashed-1776432376-20260317_132351_026.jpg,cerda_001,0
dataset_procesado\cerda_012\20260320_134707.jpg,cerda_012,11
dataset_procesado\cerda_001\.trashed-1776432376-20260317_132406_037.jpg,cerda_001,0
dataset_procesado\cerda_012\20260317_132511_014.jpg,cerda_012,11
dataset_procesado\cerda_001\20260317_133413_075.jpg,cerda_001,0
dataset_procesado\cerda_007\20260320_141655_033.jpg,cerda_007,6
dataset_procesado\cerda_001\.trashed-1776432379-20260317_132242_081.jpg,cerda_001,0
dataset_procesado\cerda_001\20260317_132406_006.jpg,cerda_001,0
dataset_procesado\cerda_001\.trashed-1776432379-20260317_132359_012.jpg,cerda_001,0
dataset_procesado\cerda_012\.trashed-1776432381-20260317_132511_054.jpg,cerda_012,11
dataset_procesado\cerda_012\20260317_132532_044.jpg,cerda_012,11
dataset_procesado\cerda_010\20260320_140122.jpg,cerda_010,9
dataset_procesado\cerda_012\20260317_132511_037.jpg,cerda_012,11
dataset_procesado\cerda_012\20260317_132546_015.jpg,cerda_012,11
dataset_procesado\cerda_012\20260317_132511_052.jpg,cerda_012,11
dataset_procesado\cerda_002\20260317_133536.jpg,cerda_002,1
dataset_procesado\cerda_008\20260320_142305.jpg,cerda_008,7
dataset_procesado\cerda_012\20260320_134916_020.jpg,cerda_012,11
dataset_procesado\cerda_004\IMG-20250420-WA0065.jpg,cerda_004,3
dataset_procesado\cerda_012\20260317_132439_024.jpg,cerda_012,11
dataset_procesado\cerda_003\20260320_141916.jpg,cerda_003,2
dataset_procesado\cerda_012\20260317_132532_052.jpg,cerda_012,11
dataset_procesado\cerda_001\.trashed-1776432380-20260317_132406_054.jpg,cerda_001,0
dataset_procesado\cerda_007\20260320_141522.jpg,cerda_007,6
dataset_procesado\cerda_012\.trashed-1776432378-20260317_132439_044.jpg,cerda_012,11
dataset_procesado\cerda_007\20260317_134123_046.jpg,cerda_007,6
dataset_procesado\cerda_001\20260317_133413_037.jpg,cerda_001,0
dataset_procesado\cerda_005\20250511_104602_013.jpg,cerda_005,4
dataset_procesado\cerda_002\20260317_133446_039.jpg,cerda_002,1
dataset_procesado\cerda_012\20260320_134916_021.jpg,cerda_012,11
dataset_procesado\cerda_002\20260317_133428_008.jpg,cerda_002,1
dataset_procesado\cerda_012\.trashed-1776432231-20260317_132551_025.jpg,cerda_012,11
dataset_procesado\cerda_003\20260320_141959_009.jpg,cerda_003,2
dataset_procesado\cerda_003\20260320_142032_007.jpg,cerda_003,2
dataset_procesado\cerda_001\20260317_133413_062.jpg,cerda_001,0
dataset_procesado\cerda_002\20260317_133428_022.jpg,cerda_002,1
dataset_procesado\cerda_012\.trashed-1776432375-20260317_132434_011.jpg,cerda_012,11
dataset_procesado\cerda_012\20260317_132447_033.jpg,cerda_012,11
dataset_procesado\cerda_001\20260317_133413_035.jpg,cerda_001,0
dataset_procesado\cerda_012\20260317_132551_032.jpg,cerda_012,11
dataset_procesado\cerda_004\IMG-20250420-WA0064.jpg,cerda_004,3
dataset_procesado\cerda_007\20260317_134123_021.jpg,cerda_007,6
dataset_procesado\cerda_007\20260320_141703_030.jpg,cerda_007,6
dataset_procesado\cerda_001\20260317_133413_064.jpg,cerda_001,0
dataset_procesado\cerda_007\20260317_134206_068.jpg,cerda_007,6
dataset_procesado\cerda_012\20260317_132511_039.jpg,cerda_012,11
dataset_procesado\cerda_002\20260317_133422_041.jpg,cerda_002,1
dataset_procesado\cerda_001\.trashed-1776432380-20260317_132406_047.jpg,cerda_001,0
dataset_procesado\cerda_012\.trashed-1776432231-20260317_132532_083.jpg,cerda_012,11
dataset_procesado\cerda_012\20260401_111135.jpg,cerda_012,11
dataset_procesado\cerda_001\20260317_132406_015.jpg,cerda_001,0
dataset_procesado\cerda_001\.trashed-1776432376-20260317_132242_030.jpg,cerda_001,0
dataset_procesado\cerda_001\20260320_135731_020.jpg,cerda_001,0
dataset_procesado\cerda_012\20260317_132546_065.jpg,cerda_012,11
dataset_procesado\cerda_006\IMG-20250420-WA0036.jpg,cerda_006,5
dataset_procesado\cerda_001\.trashed-1776432376-20260317_132359_001.jpg,cerda_001,0
dataset_procesado\cerda_003\20260320_142032_009.jpg,cerda_003,2
dataset_procesado\cerda_004\IMG-20250420-WA0060.jpg,cerda_004,3
dataset_procesado\cerda_002\20260317_133446_010.jpg,cerda_002,1
dataset_procesado\cerda_007\20260320_141655_050.jpg,cerda_007,6
dataset_procesado\cerda_001\20260401_111332_010.jpg,cerda_001,0
dataset_procesado\cerda_001\.trashed-1776432380-20260317_132340_085.jpg,cerda_001,0
dataset_procesado\cerda_012\.trashed-1776432381-20260317_132511_035.jpg,cerda_012,11
dataset_procesado\cerda_004\20260320_140720_016.jpg,cerda_004,3
dataset_procesado\cerda_012\.trashed-1776432230-20260317_132546_012.jpg,cerda_012,11
dataset_procesado\cerda_002\20260317_133428_003.jpg,cerda_002,1
dataset_procesado\cerda_011\20260320_141309_002.jpg,cerda_011,10
dataset_procesado\cerda_012\.trashed-1776432228-20260317_132500_057.jpg,cerda_012,11
dataset_procesado\cerda_012\IMG-20250420-WA0141.jpg,cerda_012,11
dataset_procesado\cerda_002\20260317_133538_004.jpg,cerda_002,1
dataset_procesado\cerda_005\20250511_104602_042.jpg,cerda_005,4
dataset_procesado\cerda_001\.trashed-1776432377-20260317_132359_040.jpg,cerda_001,0
dataset_procesado\cerda_001\20260401_111337_014.jpg,cerda_001,0
dataset_procesado\cerda_012\.trashed-1776432378-20260317_132457_001.jpg,cerda_012,11
dataset_procesado\cerda_012\.trashed-1776432230-20260317_132546_025.jpg,cerda_012,11
dataset_procesado\cerda_007\20260317_134206_083.jpg,cerda_007,6
dataset_procesado\cerda_001\.trashed-1776432375-20260317_132328_044.jpg,cerda_001,0
dataset_procesado\cerda_001\.trashed-1776432378-20260317_132340_094.jpg,cerda_001,0
dataset_procesado\cerda_012\.trashed-1776432375-20260317_132434_041.jpg,cerda_012,11
dataset_procesado\cerda_001\.trashed-1776432379-20260317_132351_082.jpg,cerda_001,0
dataset_procesado\cerda_012\.trashed-1776432378-20260317_132447_003.jpg,cerda_012,11
dataset_procesado\cerda_002\20260317_133601_039.jpg,cerda_002,1
dataset_procesado\cerda_012\20260317_132500_062.jpg,cerda_012,11
dataset_procesado\cerda_003\20260317_133831_001.jpg,cerda_003,2
dataset_procesado\cerda_001\.trashed-1776432379-20260317_132242_079.jpg,cerda_001,0
dataset_procesado\cerda_001\.trashed-1776432380-20260317_132340_025.jpg,cerda_001,0
dataset_procesado\cerda_001\.trashed-1776432375-20260317_132100_079.jpg,cerda_001,0
dataset_procesado\cerda_012\20260320_134909_001.jpg,cerda_012,11
dataset_procesado\cerda_012\20260317_132546_046.jpg,cerda_012,11
dataset_procesado\cerda_004\20260320_140720_004.jpg,cerda_004,3
dataset_procesado\cerda_005\20250511_104602_045.jpg,cerda_005,4
dataset_procesado\cerda_012\20260317_132439_021.jpg,cerda_012,11
dataset_procesado\cerda_002\20260317_133446_013.jpg,cerda_002,1
dataset_procesado\cerda_012\.trashed-1776432375-20260317_132511_015.jpg,cerda_012,11
dataset_procesado\cerda_001\20260317_133413_020.jpg,cerda_001,0
dataset_procesado\cerda_012\.trashed-1776432379-20260317_132439_027.jpg,cerda_012,11
dataset_procesado\cerda_001\.trashed-1776432380-20260317_132359_034.jpg,cerda_001,0
dataset_procesado\cerda_005\20250511_104735_033.jpg,cerda_005,4
dataset_procesado\cerda_007\20260320_141655_039.jpg,cerda_007,6
dataset_procesado\cerda_008\20260320_142335_022.jpg,cerda_008,7
dataset_procesado\cerda_012\20260320_134730.jpg,cerda_012,11
dataset_procesado\cerda_002\20260317_133538_026.jpg,cerda_002,1
dataset_procesado\cerda_001\.trashed-1776432375-20260317_132100_073.jpg,cerda_001,0
dataset_procesado\cerda_012\.trashed-1776432377-20260317_131519.jpg,cerda_012,11
dataset_procesado\cerda_012\20260317_132532_071.jpg,cerda_012,11
dataset_procesado\cerda_001\.trashed-1776432375-20260317_132233_037.jpg,cerda_001,0
dataset_procesado\cerda_001\20260317_133413_046.jpg,cerda_001,0
dataset_procesado\cerda_012\20260317_132546_074.jpg,cerda_012,11
dataset_procesado\cerda_012\20260320_134916_010.jpg,cerda_012,11
dataset_procesado\cerda_012\.trashed-1776432375-20260317_132447_053.jpg,cerda_012,11
dataset_procesado\cerda_002\20260317_133446_015.jpg,cerda_002,1
dataset_procesado\cerda_001\.trashed-1776432377-20260317_132359_052.jpg,cerda_001,0
dataset_procesado\cerda_012\.trashed-1776432230-20260317_132500_025.jpg,cerda_012,11
dataset_procesado\cerda_012\.trashed-1776432231-20260317_132551_056.jpg,cerda_012,11
dataset_procesado\cerda_012\20260401_111117.jpg,cerda_012,11
dataset_procesado\cerda_004\20260320_140720_019.jpg,cerda_004,3
dataset_procesado\cerda_012\20260317_132434_003.jpg,cerda_012,11
dataset_procesado\cerda_005\20250511_104602_009.jpg,cerda_005,4
dataset_procesado\cerda_012\.trashed-1776432230-20260317_132546_006.jpg,cerda_012,11
dataset_procesado\cerda_007\20260317_134206_074.jpg,cerda_007,6
dataset_procesado\cerda_005\20250511_104602_014.jpg,cerda_005,4
dataset_procesado\cerda_007\20260320_141638.jpg,cerda_007,6
dataset_procesado\cerda_002\20260317_133454.jpg,cerda_002,1
dataset_procesado\cerda_001\.trashed-1776432376-20260317_132242_008.jpg,cerda_001,0
dataset_procesado\cerda_012\.trashed-1776432230-20260317_132546_020.jpg,cerda_012,11
dataset_procesado\cerda_012\.trashed-1776432229-20260317_132532_018.jpg,cerda_012,11
dataset_procesado\cerda_012\20260317_132500_022.jpg,cerda_012,11
dataset_procesado\cerda_012\20260320_134930_021.jpg,cerda_012,11
dataset_procesado\cerda_007\20260317_134206_060.jpg,cerda_007,6
dataset_procesado\cerda_001\.trashed-1776432379-20260317_132359_027.jpg,cerda_001,0
dataset_procesado\cerda_012\.trashed-1776432229-20260317_132518_016.jpg,cerda_012,11
dataset_procesado\cerda_012\20260317_132542_021.jpg,cerda_012,11
dataset_procesado\cerda_001\.trashed-1776432376-20260317_132351_049.jpg,cerda_001,0
dataset_procesado\cerda_002\20260317_133446_032.jpg,cerda_002,1
dataset_procesado\cerda_001\20260317_132406_065.jpg,cerda_001,0
dataset_procesado\cerda_001\20260317_132406_030.jpg,cerda_001,0
dataset_procesado\cerda_001\.trashed-1776432379-20260317_132351_095.jpg,cerda_001,0
dataset_procesado\cerda_003\20260317_133850_001.jpg,cerda_003,2
dataset_procesado\cerda_012\.trashed-1776432375-20260317_132511_050.jpg,cerda_012,11
dataset_procesado\cerda_007\20260320_141703_023.jpg,cerda_007,6
dataset_procesado\cerda_007\20260320_141655_018.jpg,cerda_007,6
dataset_procesado\cerda_012\20260320_134916_008.jpg,cerda_012,11
dataset_procesado\cerda_012\20260317_132546_077.jpg,cerda_012,11
dataset_procesado\cerda_012\20260320_135012.jpg,cerda_012,11
dataset_procesado\cerda_007\20260320_141655_017.jpg,cerda_007,6
dataset_procesado\cerda_002\20260317_133601_033.jpg,cerda_002,1
dataset_procesado\cerda_005\20250511_104558_035.jpg,cerda_005,4
dataset_procesado\cerda_002\20260317_133428_051.jpg,cerda_002,1
dataset_procesado\cerda_012\.trashed-1776432231-20260317_132551_020.jpg,cerda_012,11
dataset_procesado\cerda_002\20260317_133422_065.jpg,cerda_002,1
dataset_procesado\cerda_012\20260320_134916_025.jpg,cerda_012,11
dataset_procesado\cerda_003\20260320_142032_003.jpg,cerda_003,2
dataset_procesado\cerda_012\.trashed-1776432229-20260317_132500_002.jpg,cerda_012,11
dataset_procesado\cerda_001\20260320_135731_036.jpg,cerda_001,0
dataset_procesado\cerda_009\20260320_140301.jpg,cerda_009,8
dataset_procesado\cerda_012\.trashed-1776432231-20260317_132551_012.jpg,cerda_012,11
dataset_procesado\cerda_012\20260320_134916_002.jpg,cerda_012,11
dataset_procesado\cerda_007\20260317_134123_013.jpg,cerda_007,6
dataset_procesado\cerda_002\20260317_133446_014.jpg,cerda_002,1
dataset_procesado\cerda_012\20260317_132434_019.jpg,cerda_012,11
dataset_procesado\cerda_001\.trashed-1776432376-20260317_132406_063.jpg,cerda_001,0
dataset_procesado\cerda_012\.trashed-1776432230-20260317_132500_018.jpg,cerda_012,11
dataset_procesado\cerda_012\.trashed-1776432230-20260317_132542_022.jpg,cerda_012,11
dataset_procesado\cerda_012\20260317_132500_053.jpg,cerda_012,11
dataset_procesado\cerda_008\20260320_142338_010.jpg,cerda_008,7
dataset_procesado\cerda_012\20260401_111128.jpg,cerda_012,11
dataset_procesado\cerda_001\.trashed-1776432378-20260317_132100_016.jpg,cerda_001,0
dataset_procesado\cerda_012\.trashed-1776432375-20260317_132434_043.jpg,cerda_012,11
dataset_procesado\cerda_002\20260317_133435_025.jpg,cerda_002,1
dataset_procesado\cerda_012\20260401_111041_004.jpg,cerda_012,11
dataset_procesado\cerda_001\.trashed-1776432375-20260317_132100_074.jpg,cerda_001,0
dataset_procesado\cerda_012\20260401_111041_008.jpg,cerda_012,11
dataset_procesado\cerda_001\.trashed-1776432377-20260317_132340_072.jpg,cerda_001,0
dataset_procesado\cerda_012\.trashed-1776432229-20260317_132551_069.jpg,cerda_012,11
dataset_procesado\cerda_004\20260320_140720_017.jpg,cerda_004,3
dataset_procesado\cerda_004\IMG-20250420-WA0054.jpg,cerda_004,3
dataset_procesado\cerda_001\20260317_133413_021.jpg,cerda_001,0
dataset_procesado\cerda_012\.trashed-1776432231-20260317_132551_018.jpg,cerda_012,11
dataset_procesado\cerda_001\.trashed-1776432379-20260317_132242_094.jpg,cerda_001,0
dataset_procesado\cerda_001\.trashed-1776432376-20260317_132351_084.jpg,cerda_001,0
dataset_procesado\cerda_005\20250511_104602_040.jpg,cerda_005,4
dataset_procesado\cerda_002\20260317_133422_074.jpg,cerda_002,1
dataset_procesado\cerda_002\20260317_133528_002.jpg,cerda_002,1
dataset_procesado\cerda_001\.trashed-1776432375-20260317_132100_070.jpg,cerda_001,0
dataset_procesado\cerda_010\20260320_141054.jpg,cerda_010,9
dataset_procesado\cerda_005\20250511_104735_001.jpg,cerda_005,4
dataset_procesado\cerda_001\.trashed-1776432378-20260317_132233_033.jpg,cerda_001,0
dataset_procesado\cerda_003\20260317_133908_001.jpg,cerda_003,2
dataset_procesado\cerda_007\20260317_134123_072.jpg,cerda_007,6
dataset_procesado\cerda_001\.trashed-1776432376-20260317_132323_009.jpg,cerda_001,0
dataset_procesado\cerda_001\20260320_135731_026.jpg,cerda_001,0
dataset_procesado\cerda_012\.trashed-1776432379-20260317_132439_015.jpg,cerda_012,11
dataset_procesado\cerda_001\.trashed-1776432377-20260317_132351_011.jpg,cerda_001,0
dataset_procesado\cerda_012\.trashed-1776432230-20260317_132532_058.jpg,cerda_012,11
dataset_procesado\cerda_001\.trashed-1776432380-20260317_132340_029.jpg,cerda_001,0
dataset_procesado\cerda_001\20260317_132406_036.jpg,cerda_001,0
dataset_procesado\cerda_012\.trashed-1776432229-20260317_132542_017.jpg,cerda_012,11
dataset_procesado\cerda_012\20260320_134930_007.jpg,cerda_012,11
dataset_procesado\cerda_001\.trashed-1776432379-20260317_132406_040.jpg,cerda_001,0
dataset_procesado\cerda_012\.trashed-1776432375-20260317_132511_008.jpg,cerda_012,11
dataset_procesado\cerda_012\20260317_132500_056.jpg,cerda_012,11
dataset_procesado\cerda_001\.trashed-1776432375-20260317_132323_029.jpg,cerda_001,0
dataset_procesado\cerda_012\.trashed-1776432230-20260317_132500_059.jpg,cerda_012,11
dataset_procesado\cerda_002\20260317_133538_009.jpg,cerda_002,1
dataset_procesado\cerda_002\20260317_133601_017.jpg,cerda_002,1
dataset_procesado\cerda_012\.trashed-1776432377-20260317_131543.jpg,cerda_012,11
dataset_procesado\cerda_003\20260320_142035.jpg,cerda_003,2
dataset_procesado\cerda_005\20250511_104602_035.jpg,cerda_005,4
dataset_procesado\cerda_002\20260317_133435_020.jpg,cerda_002,1
dataset_procesado\cerda_001\20260317_133413_006.jpg,cerda_001,0
dataset_procesado\cerda_001\.trashed-1776432377-20260317_132406_065.jpg,cerda_001,0
dataset_procesado\cerda_012\20260317_132518_008.jpg,cerda_012,11
dataset_procesado\cerda_012\20260317_132546_068.jpg,cerda_012,11
dataset_procesado\cerda_001\.trashed-1776432377-20260317_132340_045.jpg,cerda_001,0
dataset_procesado\cerda_001\.trashed-1776432375-20260317_132233_022.jpg,cerda_001,0
dataset_procesado\cerda_001\.trashed-1776432380-20260317_132242_043.jpg,cerda_001,0
dataset_procesado\cerda_003\20260317_133857_001.jpg,cerda_003,2
dataset_procesado\cerda_004\IMG-20250420-WA0080.jpg,cerda_004,3
dataset_procesado\cerda_012\.trashed-1776432230-20260317_132500_047.jpg,cerda_012,11
dataset_procesado\cerda_002\20260317_133534.jpg,cerda_002,1
dataset_procesado\cerda_012\.trashed-1776432231-20260317_132551_034.jpg,cerda_012,11
dataset_procesado\cerda_002\20260317_133601_025.jpg,cerda_002,1
dataset_procesado\cerda_002\20260317_133615_001.jpg,cerda_002,1
dataset_procesado\cerda_012\20260320_135014.jpg,cerda_012,11
dataset_procesado\cerda_001\20260317_133413_060.jpg,cerda_001,0
dataset_procesado\cerda_002\20260317_133422_036.jpg,cerda_002,1
dataset_procesado\cerda_001\.trashed-1776432378-20260317_132340_032.jpg,cerda_001,0
dataset_procesado\cerda_012\.trashed-1776432228-20260317_132542_027.jpg,cerda_012,11
dataset_procesado\cerda_012\IMG-20250420-WA0171.jpg,cerda_012,11
dataset_procesado\cerda_001\.trashed-1776432379-20260317_132323_031.jpg,cerda_001,0
dataset_procesado\cerda_002\20260317_133446_017.jpg,cerda_002,1
dataset_procesado\cerda_002\20260317_133528_006.jpg,cerda_002,1
dataset_procesado\cerda_005\20250511_104735_043.jpg,cerda_005,4
dataset_procesado\cerda_004\20260320_140737.jpg,cerda_004,3
dataset_procesado\cerda_002\20260317_133422_055.jpg,cerda_002,1
dataset_procesado\cerda_002\20260317_133542_018.jpg,cerda_002,1
dataset_procesado\cerda_005\20250511_104606.jpg,cerda_005,4
dataset_procesado\cerda_008\20260320_142335_011.jpg,cerda_008,7
dataset_procesado\cerda_001\20260317_133413_033.jpg,cerda_001,0
dataset_procesado\cerda_012\20260317_132551_026.jpg,cerda_012,11
dataset_procesado\cerda_012\20260317_132447_008.jpg,cerda_012,11
dataset_procesado\cerda_007\20260320_141535.jpg,cerda_007,6
dataset_procesado\cerda_012\.trashed-1776432378-20260317_132447_034.jpg,cerda_012,11
dataset_procesado\cerda_012\.trashed-1776432231-20260317_132532_034.jpg,cerda_012,11
dataset_procesado\cerda_012\.trashed-1776432374-20260317_132511_001.jpg,cerda_012,11
dataset_procesado\cerda_001\.trashed-1776432376-20260317_132406_009.jpg,cerda_001,0
dataset_procesado\cerda_007\20260317_134357.jpg,cerda_007,6
dataset_procesado\cerda_001\20260401_111329.jpg,cerda_001,0
dataset_procesado\cerda_003\20260320_141921.jpg,cerda_003,2
dataset_procesado\cerda_006\IMG-20250420-WA0015.jpg,cerda_006,5
dataset_procesado\cerda_001\.trashed-1776432378-20260317_132328_020.jpg,cerda_001,0
dataset_procesado\cerda_012\.trashed-1776432378-20260317_132447_042.jpg,cerda_012,11
dataset_procesado\cerda_001\20260317_132406_023.jpg,cerda_001,0
dataset_procesado\cerda_004\IMG-20250420-WA0071.jpg,cerda_004,3
dataset_procesado\cerda_001\.trashed-1776432376-20260317_132323_005.jpg,cerda_001,0
dataset_procesado\cerda_012\.trashed-1776432379-20260317_132439_016.jpg,cerda_012,11
dataset_procesado\cerda_001\.trashed-1776432380-20260317_132242_039.jpg,cerda_001,0
dataset_procesado\cerda_001\.trashed-1776432376-20260317_132100_052.jpg,cerda_001,0
dataset_procesado\cerda_002\20260317_133435_015.jpg,cerda_002,1
dataset_procesado\cerda_005\20250511_104602_041.jpg,cerda_005,4
dataset_procesado\cerda_012\.trashed-1776432375-20260317_132447_039.jpg,cerda_012,11
